epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.3843,0.60024,2.57928,1.029,0.00444,1,0.01619,0.01025,0.44944,3.15034,1.00697,0,0,0
2,16.7938,0.69946,2.6918,1.09994,0.00444,1,0.01942,0.01284,0.42317,3.14234,0.98626,1.934e-05,1.934e-05,1.934e-05
3,24.185,0.55537,2.59372,1.0447,0.00444,1,0.04594,0.03713,0.35602,3.0927,0.92869,3.736e-05,3.736e-05,3.736e-05
4,31.094,0.5534,2.59426,1.02099,0.00444,1,0.25795,0.22803,0.26576,3.11032,0.85258,5.406e-05,5.406e-05,5.406e-05
5,37.756,0.39756,2.43653,0.96509,0.00444,1,0.71167,0.60738,0.2332,3.09706,0.80966,6.944e-05,6.944e-05,6.944e-05
6,44.5466,0.34485,2.31625,0.90455,0.00444,1,0.85611,0.71639,0.29444,3.09121,0.80472,8.35e-05,8.35e-05,8.35e-05
7,51.698,0.46478,2.53781,0.99364,0.00444,1,0.87,0.65814,0.33727,3.09496,0.80019,9.624e-05,9.624e-05,9.624e-05
8,58.4618,0.37469,2.36041,0.92114,0.00444,1,0.995,0.65855,0.30253,3.08368,0.79107,0.00010766,0.00010766,0.00010766
9,65.9262,0.30378,2.21377,0.92848,0.00444,1,0.845,0.58215,0.24705,3.06262,0.78531,0.00011776,0.00011776,0.00011776
10,74.029,0.31532,2.10619,0.8932,0.00444,1,0.895,0.71282,0.213,3.03273,0.78663,0.00012654,0.00012654,0.00012654
11,81.0492,0.31103,2.11692,0.90476,0.00444,1,0.91167,0.75369,0.238,3.04256,0.80227,0.000134,0.000134,0.000134
12,87.9805,0.37548,2.06872,0.91115,0.00444,1,0.81643,0.71868,0.27506,3.06665,0.82142,0.00014014,0.00014014,0.00014014
13,94.914,0.31581,1.92813,0.90753,0.00444,1,0.87,0.73294,0.2939,3.07198,0.84223,0.00014496,0.00014496,0.00014496
14,101.739,0.34326,1.88085,0.90939,0.00444,1,0.77341,0.65803,0.33151,3.04828,0.88901,0.00014846,0.00014846,0.00014846
15,108.952,0.40546,1.97396,0.90218,0.00444,1,0.67948,0.57952,0.38021,3.07536,0.92824,0.00015064,0.00015064,0.00015064
16,116.812,0.34952,1.75174,0.90218,0.00444,1,0.68473,0.61482,0.38295,3.05793,0.9378,0.0001515,0.0001515,0.0001515
17,124.275,0.2694,1.69999,0.92097,0.00333,0.75,0.68293,0.62693,0.36309,3.05125,0.89642,0.00015104,0.00015104,0.00015104
18,131.085,0.31465,1.63021,0.92455,0.00333,0.75,0.68293,0.62693,0.36309,3.05125,0.89642,0.00014926,0.00014926,0.00014926
19,138.158,0.28522,1.63219,0.85243,0.00444,1,0.68645,0.63953,0.32616,3.03216,0.8634,0.00014616,0.00014616,0.00014616
20,144.949,0.35669,1.66292,0.90831,0.00444,1,0.68645,0.63953,0.32616,3.03216,0.8634,0.00014174,0.00014174,0.00014174
21,151.871,0.43674,2.08725,1.04452,0.00444,1,0.91167,0.76864,0.24281,3.01105,0.80001,0.000136,0.000136,0.000136
22,158.484,0.3333,2.00775,0.95794,0.00444,1,0.91167,0.76864,0.24281,3.01105,0.80001,0.00012894,0.00012894,0.00012894
23,165.412,0.26959,1.93648,0.90421,0.00444,1,0.91167,0.75175,0.23602,2.99697,0.78846,0.00012056,0.00012056,0.00012056
24,172.336,0.31143,1.9037,1.02647,0.00444,1,0.91167,0.75175,0.23602,2.99697,0.78846,0.00011086,0.00011086,0.00011086
25,179.889,0.28221,1.85049,0.89678,0.00444,1,0.91167,0.71995,0.28386,2.98651,0.81618,9.984e-05,9.984e-05,9.984e-05
26,186.665,0.26623,1.77681,0.90687,0.00444,1,0.91167,0.71995,0.28386,2.98651,0.81618,8.75e-05,8.75e-05,8.75e-05
27,193.454,0.25271,1.84035,0.91636,0.00444,1,0.91167,0.73628,0.29855,2.94781,0.8184,7.384e-05,7.384e-05,7.384e-05
28,200.533,0.26078,1.75849,0.93038,0.00444,1,0.91167,0.73628,0.29855,2.94781,0.8184,5.886e-05,5.886e-05,5.886e-05
29,207.232,0.29505,1.69645,0.84575,0.00444,1,0.91167,0.73465,0.2835,2.94874,0.81074,4.256e-05,4.256e-05,4.256e-05
30,213.726,0.2859,1.68757,0.80257,0.00444,1,0.91167,0.73465,0.2835,2.94874,0.81074,2.494e-05,2.494e-05,2.494e-05
